Index,Name,Location,Type,Specialization,Treatment Approaches,Cost (INR),Contact Information,Ratings
0,Serenity Rehab Center,Mumbai,Rehabilitation Center,Substance Abuse Rehabilitation,Detoxification,8000,serenityrehab@example.com,2.9
1,New Horizons Recovery Clinic,Delhi,Rehabilitation Center,Alcohol Rehabilitation,Cognitive Behavioral Therapy,10000,newhorizons@example.com,4.1
2,Tranquil Pathways Rehab Facility,Bangalore,Rehabilitation Center,Drug Addiction Rehabilitation,12-Step Program,9000,tranquilpathways@example.com,3.6
3,Hope Springs Rehab Center,Chennai,Rehabilitation Center,Gambling Addiction Rehabilitation,Individual Counseling,8500,hopesprings@example.com,3.9
4,Freedom Steps Recovery Center,Kolkata,Rehabilitation Center,Smoking Cessation Program,Nicotine Replacement Therapy,7500,freedomsteps@example.com,3.4
5,Oasis Recovery Center,Hyderabad,Rehabilitation Center,Substance Abuse Rehabilitation,Family Therapy,8500,oasisrecovery@example.com,3.6
6,Phoenix Rising Rehab Clinic,Pune,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9500,phoenixrising@example.com,3.7
7,Sunshine Haven Rehab Facility,Jaipur,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,8000,sunshinehaven@example.com,4.0
8,Tranquility Retreats,Goa,Rehabilitation Center,Gambling Addiction Rehabilitation,Outdoor Activities,9000,tranquilityretreats@example.com,3.2
9,Zenith Wellness Center,Chandigarh,Rehabilitation Center,Smoking Cessation Program,Hypnotherapy,8000,zenithwellness@example.com,3.8
10,Unity Recovery Center,Lucknow,Rehabilitation Center,Substance Abuse Rehabilitation,Group Therapy,8200,unityrecovery@example.com,3.5
11,Hope Haven Rehab Oasis,Kanpur,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9000,hopehavenoasis@example.com,3.3
12,Tranquil Trails Rehab Retreat,Varanasi,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,8500,trailsrehab@example.com,3.6
13,Harmony House,Allahabad,Rehabilitation Center,Gambling Addiction Rehabilitation,Cognitive Therapy,8000,harmonyhouse@example.com,3.9
14,Samaritan Sober Living Center,Bhopal,Rehabilitation Center,Substance Abuse Rehabilitation,Peer Support,7800,samaritan@example.com,3.5
15,Tranquility Springs Rehab Haven,Indore,Rehabilitation Center,Alcohol Rehabilitation,Art Therapy,9500,tranquilitysprings@example.com,3.7
16,Hopeful Hearts Recovery Center,Gwalior,Rehabilitation Center,Drug Addiction Rehabilitation,Creative Therapy,8700,hopefulhearts@example.com,3.6
17,Renewal Rehab Oasis,Patna,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,8300,renewaloasis@example.com,3.4
18,Tranquil Waters Recovery Center,Muzaffarpur,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9200,trqilwaters@example.com,3.5
19,Growth Steps Rehab Sanctuary,Darbhanga,Rehabilitation Center,Drug Addiction Rehabilitation,12-Step Program,8900,growthsteps@example.com,3.3
20,Healing Harmony Rehab Retreat,Ahmedabad,Rehabilitation Center,Substance Abuse Rehabilitation,Yoga Therapy,8600,healingharmony@example.com,3.8
21,Tranquility Springs Wellness Center,Surat,Rehabilitation Center,Alcohol Rehabilitation,Mindfulness Meditation,9200,tranquilityspringswellness@example.com,3.7
22,Serene Sanctuary Rehab Haven,Vadodara,Rehabilitation Center,Drug Addiction Rehabilitation,Equine Therapy,8800,serenesanctuary@example.com,3.9
23,Hopeful Horizons Recovery Haven,Nagpur,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,8500,hopefulhorizons@example.com,3.5
24,Tranquil Tranquility Rehab Oasis,Nashik,Rehabilitation Center,Alcohol Rehabilitation,Family Counseling,9100,tranquiltranquility@example.com,3.7
25,Serenity Shores Recovery Sanctuary,Imphal,Rehabilitation Center,Substance Abuse Rehabilitation,Acupuncture Therapy,8400,serenityshores@example.com,3.6
26,Tranquil Transitions Rehab Oasis,Shillong,Rehabilitation Center,Alcohol Rehabilitation,Group Counseling,9300,tranquiltransitions@example.com,3.8
27,Harmony Haven Recovery Retreat,Kohima,Rehabilitation Center,Drug Addiction Rehabilitation,Music Therapy,8900,harmonyhaven@example.com,3.5
28,New Beginnings Rehab Sanctuary,Aizawl,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,8200,newbeginnings@example.com,3.7
29,Eternal Serenity Rehab Oasis,Guwahati,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,8700,eternalserenity@example.com,3.6
30,Tranquility Springs Recovery Haven,Agartala,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9400,tranquilityspringsrecovery@example.com,3.5
31,Punjab Peace Rehabilitation Center,Amritsar,Rehabilitation Center,Substance Abuse Rehabilitation,12-Step Program,8800,punjabpeace@example.com,3.9
32,Healing Hope Recovery Clinic,Ludhiana,Rehabilitation Center,Alcohol Rehabilitation,Family Therapy,9200,healinghope@example.com,3.8
33,Tranquil Touch Wellness Center,Jalandhar,Rehabilitation Center,Drug Addiction Rehabilitation,Creative Therapy,8900,tranquiltouch@example.com,3.8
34,Healing Haven Rehab Sanctuary,Amritsar,Rehabilitation Center,Smoking Cessation Program,Cognitive Behavioral Therapy,9500,healinghaven@example.com,3.9
35,Serenity Sanctuary Recovery Retreat,Jammu,Rehabilitation Center,Smoking Cessation Program,Individual Counseling,9600,serenitysanctuary@example.com,3.5
36,Solace Serenity Rehab Center,Trivandrum,Rehabilitation Center,Substance Abuse Rehabilitation,Cognitive Behavioral Therapy,8500,solaceserenity@example.com,3.8
37,Rainbow Recovery Sanctuary,Kochi,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9100,rainbowrecovery@example.com,3.6
38,Sacred Steps Rehab Haven,Coimbatore,Rehabilitation Center,Drug Addiction Rehabilitation,Individual Counseling,8900,sacredsteps@example.com,3.7
39,Blissful Beginnings Recovery Clinic,Mangalore,Rehabilitation Center,Substance Abuse Rehabilitation,Family Therapy,9300,blissfulbeginnings@example.com,3.5
40,Tranquil Waters Wellness Center,Pondicherry,Rehabilitation Center,Alcohol Rehabilitation,Meditation,9200,tranquilwaters@example.com,3.9
41,Healing Haven Recovery Oasis,Madurai,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,8800,healinghaven@example.com,3.8
42,Serene Shores Rehab Retreat,Tiruchirappalli,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,8600,sereneshores@example.com,3.6
43,Sunrise Serenity Rehab Sanctuary,Calicut,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9000,sunriseserenity@example.com,3.7
44,Tranquility Trails Recovery Haven,Kozhikode,Rehabilitation Center,Drug Addiction Rehabilitation,Creative Therapy,9400,tranquilitytrails@example.com,3.5
45,Hopeful Horizons Wellness Center,Chennai,Rehabilitation Center,Substance Abuse Rehabilitation,Yoga Therapy,8700,hopefulhorizons@example.com,3.8
46,Tranquil Tranquility Rehab Oasis,Dehradun,Rehabilitation Center,Alcohol Rehabilitation,Group Counseling,9200,tranquiltranquility@example.com,3.8
47,Healing Haven Recovery Clinic,Jaipur,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9300,healinghaven@example.com,3.6
48,Serenity Springs Rehab Sanctuary,Jodhpur,Rehabilitation Center,Substance Abuse Rehabilitation,12-Step Program,8900,serenitysprings@example.com,3.7
49,Hopeful Horizons Recovery Oasis,Udaipur,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9100,hopefulhorizons@example.com,3.5
50,Tranquility Trails Wellness Center,Kanpur,Rehabilitation Center,Drug Addiction Rehabilitation,Family Therapy,9200,tranquilitytrails@example.com,3.9
51,Blissful Beginnings Rehab Haven,Varanasi,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,8800,blissfulbeginnings@example.com,3.8
52,Sacred Steps Recovery Retreat,Allahabad,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,8600,sacredsteps@example.com,3.6
53,Solace Serenity Wellness Center,Lucknow,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9000,solaceserenity@example.com,3.7
54,Rainbow Recovery Clinic,Gorakhpur,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,9400,rainbowrecovery@example.com,3.5
55,Tranquil Waters Rehab Sanctuary,Kanpur,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,8700,tranquilwaters@example.com,3.8
56,Tranquil Tranquility Rehab Oasis,Bhopal,Rehabilitation Center,Alcohol Rehabilitation,Group Counseling,9100,tranquiltranquility@example.com,2.9
57,Healing Haven Recovery Clinic,Indore,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9200,healinghaven@example.com,3.0
58,Serenity Springs Rehab Sanctuary,Raipur,Rehabilitation Center,Substance Abuse Rehabilitation,12-Step Program,8700,serenitysprings@example.com,2.8
59,Hopeful Horizons Recovery Oasis,Nagpur,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9300,hopefulhorizons@example.com,2.5
60,Tranquility Trails Wellness Center,Jabalpur,Rehabilitation Center,Drug Addiction Rehabilitation,Family Therapy,9200,tranquilitytrails@example.com,2.7
61,Blissful Beginnings Rehab Haven,Gwalior,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,9000,blissfulbeginnings@example.com,2.8
62,Sacred Steps Recovery Retreat,Raipur,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,8800,sacredsteps@example.com,2.9
63,Solace Serenity Wellness Center,Jaipur,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9100,solaceserenity@example.com,3.0
64,Rainbow Recovery Clinic,Bilaspur,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,9400,rainbowrecovery@example.com,2.6
65,Tranquil Waters Rehab Sanctuary,Chhindwara,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,8600,tranquilwaters@example.com,2.7
66,Evergreen Escape Rehab Haven,Guwahati,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,8900,evergreenescape@example.com,2.5
67,Tranquil Tranquility Rehab Retreat,Shillong,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9000,tranquilityretreat@example.com,2.8
68,Serenity Springs Recovery Sanctuary,Kolkata,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9200,serenitysprings@example.com,2.3
69,Hopeful Horizons Recovery Oasis,Siliguri,Rehabilitation Center,Substance Abuse Rehabilitation,Individual Counseling,9400,hopefulhorizons@example.com,2.6
70,Tranquility Trails Wellness Center,Darjeeling,Rehabilitation Center,Drug Addiction Rehabilitation,Family Therapy,9300,tranquilitytrails@example.com,2.7
71,Blissful Beginnings Rehab Retreat,Bhubaneswar,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,8900,blissfulbeginnings@example.com,2.4
72,Sacred Steps Recovery Haven,Patna,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,8800,sacredsteps@example.com,2.9
73,Solace Serenity Recovery Sanctuary,Ranchi,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9100,solaceserenity@example.com,2.2
74,Rainbow Recovery Center,Agartala,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,9300,rainbowrecovery@example.com,2.8
75,Tranquil Waters Wellness Center,Gangtok,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9200,tranquilwaters@example.com,2.5
Index,Name,Location,Type,Specialization,Treatment Approaches,Cost (INR),Contact Information,Ratings
76,Serenity Sanctuary Rehab Oasis,Mumbai,Rehabilitation Center,Substance Abuse Rehabilitation,Individual Counseling,9500,serenitysanctuary@example.com,4.3
77,Tranquil Tranquility Recovery Retreat,Pune,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9600,tranquilityrecovery@example.com,4.5
78,Hopeful Horizons Rehab Oasis,Goa,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9400,hopefulhorizons@example.com,4.2
79,Blissful Beginnings Recovery Haven,Ahmedabad,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,9300,blissfulbeginnings@example.com,4.4
80,Sacred Steps Wellness Center,Jaipur,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9200,sacredsteps@example.com,4.1
81,Rainbow Recovery Sanctuary,Udaipur,Rehabilitation Center,Substance Abuse Rehabilitation,Music Therapy,9100,rainbowrecovery@example.com,4.3
82,Solace Serenity Rehab Haven,Nagpur,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9400,solaceserenity@example.com,4.5
83,Tranquil Waters Recovery Clinic,Indore,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9300,tranquilwaters@example.com,4.2
84,Evergreen Escape Recovery Retreat,Surat,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9500,evergreenescape@example.com,4.4
85,Healing Haven Rehab Sanctuary,Rajkot,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9600,healinghaven@example.com,4.1
86,Tranquil Tranquility Recovery Haven,Lucknow,Rehabilitation Center,Substance Abuse Rehabilitation,Cognitive Behavioral Therapy,9400,tranquilityrecovery@example.com,3.8
87,Hopeful Horizons Rehab Retreat,Kanpur,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9200,hopefulhorizons@example.com,3.7
88,Blissful Beginnings Recovery Oasis,Varanasi,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,9300,blissfulbeginnings@example.com,3.6
89,Sacred Steps Wellness Retreat,Allahabad,Rehabilitation Center,Substance Abuse Rehabilitation,Relapse Prevention Therapy,9100,sacredsteps@example.com,3.9
90,Rainbow Recovery Center,Gorakhpur,Rehabilitation Center,Alcohol Rehabilitation,Music Therapy,9500,rainbowrecovery@example.com,3.5
91,Solace Serenity Rehab Sanctuary,Patna,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9400,solaceserenity@example.com,3.8
92,Tranquil Waters Recovery Haven,Gaya,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9300,tranquilwaters@example.com,3.7
93,Evergreen Escape Recovery Retreat,Varanasi,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9200,evergreenescape@example.com,3.6
94,Healing Haven Rehab Oasis,Patna,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9600,healinghaven@example.com,3.9
95,Serenity Sanctuary Recovery Haven,Allahabad,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9500,serenitysanctuary@example.com,3.5
96,Tranquil Tranquility Wellness Center,Varanasi,Rehabilitation Center,Substance Abuse Rehabilitation,Creative Therapy,9300,tranquilitywellness@example.com,3.8
97,Hopeful Horizons Recovery Retreat,Gorakhpur,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9100,hopefulhorizons@example.com,3.7
98,Blissful Beginnings Rehab Oasis,Patna,Rehabilitation Center,Drug Addiction Rehabilitation,Family Therapy,9400,blissfulbeginnings@example.com,3.6
99,Sacred Steps Recovery Sanctuary,Varanasi,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,9500,sacredsteps@example.com,3.9
100,Rainbow Recovery Haven,Gaya,Rehabilitation Center,Alcohol Rehabilitation,Music Therapy,9400,rainbowrecovery@example.com,3.5
101,Solace Serenity Wellness Center,Allahabad,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9300,solaceserenity@example.com,3.8
102,Tranquil Waters Recovery Clinic,Varanasi,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9200,tranquilwaters@example.com,3.7
103,Evergreen Escape Rehab Retreat,Patna,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9600,evergreenescape@example.com,3.9
104,Healing Haven Recovery Sanctuary,Gorakhpur,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9500,healinghaven@example.com,3.5
105,Serenity Sanctuary Rehab Haven,Varanasi,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9400,serenitysanctuary@example.com,3.8
Index,Name,Location,Type,Specialization,Treatment Approaches,Cost (INR),Contact Information,Ratings
106,Tranquil Tranquility Recovery Oasis,Srinagar,Rehabilitation Center,Substance Abuse Rehabilitation,Cognitive Behavioral Therapy,9500,tranquilityrecovery@example.com,3.8
107,Hopeful Horizons Rehab Sanctuary,Jammu,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9400,hopefulhorizons@example.com,3.7
108,Blissful Beginnings Recovery Haven,Amritsar,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,9600,blissfulbeginnings@example.com,3.6
109,Sacred Steps Wellness Retreat,Ludhiana,Rehabilitation Center,Substance Abuse Rehabilitation,Relapse Prevention Therapy,9300,sacredsteps@example.com,3.9
110,Rainbow Recovery Center,Chandigarh,Rehabilitation Center,Alcohol Rehabilitation,Music Therapy,9200,rainbowrecovery@example.com,3.5
111,Solace Serenity Rehab Retreat,Shimla,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9400,solaceserenity@example.com,3.8
112,Tranquil Waters Recovery Haven,Dharamshala,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9300,tranquilwaters@example.com,3.7
113,Evergreen Escape Recovery Oasis,Pathankot,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9100,evergreenescape@example.com,3.6
114,Healing Haven Rehab Sanctuary,Amritsar,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9500,healinghaven@example.com,3.9
115,Serenity Sanctuary Recovery Retreat,Jammu,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9600,serenitysanctuary@example.com,3.5
116,Tranquil Tranquility Wellness Center,Srinagar,Rehabilitation Center,Substance Abuse Rehabilitation,Creative Therapy,9400,tranquilitywellness@example.com,3.8
117,Hopeful Horizons Recovery Sanctuary,Ludhiana,Rehabilitation Center,Alcohol Rehabilitation,Relapse Prevention Therapy,9300,hopefulhorizons@example.com,3.7
118,Blissful Beginnings Rehab Oasis,Chandigarh,Rehabilitation Center,Drug Addiction Rehabilitation,Family Therapy,9200,blissfulbeginnings@example.com,3.6
119,Sacred Steps Recovery Sanctuary,Shimla,Rehabilitation Center,Substance Abuse Rehabilitation,Art Therapy,9600,sacredsteps@example.com,3.9
120,Rainbow Recovery Haven,Dharamshala,Rehabilitation Center,Alcohol Rehabilitation,Music Therapy,9400,rainbowrecovery@example.com,3.5
121,Solace Serenity Wellness Center,Amritsar,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9300,solaceserenity@example.com,3.8
122,Tranquil Waters Recovery Clinic,Pathankot,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9200,tranquilwaters@example.com,3.7
123,Evergreen Escape Rehab Retreat,Chandigarh,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9100,evergreenescape@example.com,3.6
124,Healing Haven Recovery Sanctuary,Shimla,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9500,healinghaven@example.com,3.9
125,Serenity Sanctuary Rehab Haven,Jammu,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9600,serenitysanctuary@example.com,3.5
126,Tranquil Tranquility Recovery Oasis,Srinagar,Rehabilitation Center,Substance Abuse Rehabilitation,Cognitive Behavioral Therapy,9400,tranquilityrecovery@example.com,3.8
127,Hopeful Horizons Rehab Sanctuary,Jammu,Rehabilitation Center,Alcohol Rehabilitation,12-Step Program,9400,hopefulhorizons@example.com,3.7
128,Blissful Beginnings Recovery Haven,Amritsar,Rehabilitation Center,Drug Addiction Rehabilitation,Art Therapy,9600,blissfulbeginnings@example.com,3.6
129,Sacred Steps Wellness Retreat,Ludhiana,Rehabilitation Center,Substance Abuse Rehabilitation,Relapse Prevention Therapy,9300,sacredsteps@example.com,3.9
130,Rainbow Recovery Center,Chandigarh,Rehabilitation Center,Alcohol Rehabilitation,Music Therapy,9200,rainbowrecovery@example.com,3.5
131,Solace Serenity Rehab Retreat,Shimla,Rehabilitation Center,Drug Addiction Rehabilitation,Meditation,9400,solaceserenity@example.com,3.8
132,Tranquil Waters Recovery Haven,Dharamshala,Rehabilitation Center,Alcohol Rehabilitation,Yoga Therapy,9300,tranquilwaters@example.com,3.7
133,Evergreen Escape Recovery Oasis,Pathankot,Rehabilitation Center,Substance Abuse Rehabilitation,Group Counseling,9100,evergreenescape@example.com,3.6
134,Healing Haven Rehab Sanctuary,Amritsar,Rehabilitation Center,Drug Addiction Rehabilitation,Cognitive Behavioral Therapy,9500,healinghaven@example.com,3.9
135,Serenity Sanctuary Recovery Retreat,Jammu,Rehabilitation Center,Alcohol Rehabilitation,Individual Counseling,9600,serenitysanctuary@example.com,3.5



